company,title,pros,cons
Oracle,Buena experiencia hasta que hubo layoffs....,Mi empleo fue 100% remoto. El ambiente laboral fue muy bueno. Conocí gente muy talentosa.,"Muchos procesos son demasiado arcaicos y burocráticos. La empresa impulsa el self-service, pero cuando recien te unes es demasiado complejo adaptarte. La empresa te obliga a tomar decenas de cursos de compliance en poco tiempo."
Oracle,No toman en cuenta tus comentarios ni a ti como persona,"buenas prestaciones
buen sueldo
era home office","Malos jefes
poca comunicacion
mucha burocracia
hoy estas maniana no sabes"
Oracle,Estrategia,Self Service independencia hybrid gente,"Falta de estrategia y liderazgo,sueldo"
Oracle,xxx,calidad humana excelente. excelente beneficios,mucha burocracia. poca actualización de sueldo
Oracle,Review,Tiene beneficios en salud y bonos,Tiene muy pocas oportunidades de crecimiento
Oracle,Empresa,"Sueldo competitivo
Oportunidades de crecimiento
Buenas prestaciones
Equipos de trabajo agradables
Oportunidad de home office","Despidos injustificados
No hay facilidad para moverte de unidades de negocio internamente"
Oracle,Experiencia mixta,"Buenos sueldos y prestaciones, estabilidad laboral. 
Fuera de los proyectos del cloud(OCI) hay muchas oportunidades, balance vida trabajo, respeto, honestidad, oportunidades.","General:
Islas de conocimiento, herramientas cerradas, poco crecimiento. 

Particular a los proyectos de la nube:

Cultura toxica en los proyectos OCI, tus compañeros hablan mal de ti, hay grupismo, exclusion, segregacion y hablan para desprestigiarte como para que no les quites el puesto cuando hay espacio para todos, por esto no es posible confiar en las personas porque no sabes quien tirara el siguiente golpe. Esta cultura permea todo OCI y no parece una empresa AAA.

Los proyectos de OCI super presurizados, los gerentes saben lo anterior y lo permiten."
Oracle,Buena,Me gusta la tecnologia que desarrollamos y el equipo con el que convivo,Muy pocos aumentos y bonos.
Oracle,Buena empresa buena carga laboral,"Flexibilidad, equipo global, buenas prestaciones","no hay aumentos de sueldo tan facil, con lo que entras te quedas"
Oracle,buen empleo,buen hambiente lavoral buen salario,poca posvilidad de crecimiento lavoral
Oracle,Buenos beneficios,- Buenos beneficios + Fondo de Empleados,- Salarios obsoletos y no hay incrementos anuales
Oracle,Oracle,"Oracle es una empresa líder en tecnología, lo que brinda oportunidades de aprendizaje y desarrollo continuo, es una empresa estable y bien establecida en la industria tecnológica.
Pueden ofrecer oportunidades de trabajar en diferentes países y culturas debido a su presencia internacional. Ofrecen beneficios que van desde seguro médico hasta programas de bienestar y desarrollo profesional.","Compensación competitiva
 Dada su posición en la industria, el ritmo de trabajo puede ser rápido y demandante.
 La evolución constante de la industria tecnológica podría significar cambios frecuentes en roles, proyectos o tecnologías, lo que podría requerir adaptabilidad constante por parte de los empleados."
Oracle,Gran empresa,"Tiene prestaciones superiores a las de la ley, buen ahorro, vales de despensa, actividades como torneo de futbol (entre otros clubes/torneos)",Es un poco complicado subir de puesto con aumento de sueldo
Oracle,Muy competitivo,Es una buena escuela para desarrollar habilidades de ventas,Es un ambiente laboral rudo
Oracle,Love it,Libertad. Innovacion. Tecnologia. Prestigio. Grande.,Burocracia. Tecnologias antiguas. Dinosaurios. Frustrante.
Oracle,Intership,"Buenas prestaciones, salario y ambiente laboral","Si quieres tomar un curso de Udemy por tu cuenta relacionado a la tecnología que se usa en el equipo, lo tienes que pagar tú"
Oracle,Programmer Analyst 2,"Crecimiento constante , y bastantes herramientas de enfoque",Tecnologias muy aisladas y crecimiento aislado
Oracle,All good,"He estado solo un par de meses en el MDC campus, Las prestaciones son buenas, vales de comida y restaurante, fondo de ahorro, aguinaldo y bono, seguro médico, las instalaciones del MDC excelentes.","No hay aumentos, solo si te mueves a otro puesto"
Oracle,"Estabilidad de trabajo y buenas prestaciones, con una cultura y profesionalización mejorables","Empresa sólida. 
Procesos maduros. 
Buenas prestaciones.
Acceso a la innovación tecnológica.","La colaboración entre equipos de venta (comercial) y de preventa (tecnología), no es la mejor. 
La descoordinación entre áreas provoca situaciones de urgencia que podrían prevenirse y tener menos costos en esfuerzo y tiempo. 
 Lo anterior, finalmente en detrimento de la satisfacción del cliente.
Falta más profesionalización de los empleados, en el sentido de fortalecer las estrategias de capacitación técnica, y así habilitar un mejor servicio a los clientes."
Oracle,Evaluación,Empresa global con prestaciones buenas,"Hay muchos roles que se repiten, mucha competencia interna para hacer la misma actividad."
Oracle,Muy buena empresa,"Buenos beneficios, reconocimiento del trabajo realizado.","Pocos aumentos de sueldo, los bonos cada vez menores."
Oracle,Recomendado,"Flexibilidad laboral en tiempos, salario normal",No hay muchas posibilidades de crecimiento
Oracle,Excelente,"Beneficios superiores a los de Ley
Vales de despensa
Vales de restaurante",Pocas oportunidades de crecimiento dentro de la empresa
Oracle,Excelentes prestaciones y ambiente laboral,"- Gastos medicos mayores/menores.
- Mas dias de vacaciones en fechas de navidad",Sueldo podria ser mas competitivo
Oracle,Principal QA Engineer,Gran experiencia de trabajo con el equipo y siempre abierto al feedback entre el equipo y aportar en la mejora del producto final.,La parte de admin arriba de nuestro manager no era muy abierta en cuanto a nuestras preocupaciones y siempre se mantenia a puerta cerrada en mas de una ocasion.
Oracle,Aprendizaje continuo,Siempre hay personas para orientarte,Existe demasiada documentación y los productos son muy grandes
Oracle,Software Developer Intern,"Sueldo competitivo
Prestaciones superiores a la ley
Trabajo híbrido
Shuttle
Trabajo flexible",Oficinas en Zapopan no son muy accesibles sin un automóvil.
Oracle,Excellent company to work,"Prestaciones Sociales
Cobertura de Salud
Excelente clima laboral",demoras en tiempos de las desiciones ejecutivas
Oracle,Comentarios,"1.-Prima Vacacional
2.-Fondo de ahorro
3.-Vales de despensa
4.-Días de vacaciones extra en Diciembre
5.-Horarios flexible","1.-Poco crecimiento económico
2.-Despido sin aticipacion
3.-Sin apoyo para viajes al campus (en caso de trabajar de manera remota)
4.-Proceso de seleccion es muy lento
5.-Poco crecimiento laboral"
Oracle,Excelente opcion para aprender,"Excelentes prestaciones superiores a la ley, gastos medicos menores y mayores, seguro de gastos medicos mayores con opcion a comprar mas beneficios.",Pocas opciones de crecimiento y aumento de sueldo.
Oracle,Oracle,Excelente lugar lleno de mucha cultura,"Ninguna, es un gran lugar para comenzar tu carrera profesional"
Oracle,Customer Success Services,"Experiencia
Buenas prestaciones
Decir que trabajas en Oracle","Desorganización total
Puestos al parecer inecesarios (haces el trabajo de tester y project manager, aunque existen testers y project managers)
No hay crecimiento o es extremadamente lento
Falta de comunicación entre equipos
No pagan horas extra, y por ser área de soporte, hay muchas horas extra
Guardias sin paga en días festivos"
Oracle,Experiencia,Diversidad de proyectos en misma tecnologia,Dinamica y salario poco competitivo
Oracle,Prestaciones,Las prestaciones en cuanto a vales de despensa y restaurante mejoraron.,Te estancas mucho en un sueldo si no te sabes mover de puesto
Oracle,Evaluación general,"Estabilidad laboral, buen ambiente, excelentes profesionales y personas.","Muy pocos beneficios, no hacen reajustes por ipc, podrías entrar con un sueldo y quedarte ahí por muchos años."
Oracle,Oracle,Excelentes compensaciones económicas en tu crecimiento,Poca participación en los procesos
Oracle,Oracle Mexico,"Muy buenas prestaciones, fondo de ahorro, vales de despensa, vales de restaurante, aguinaldo 30 días","Hay algunos puestos que son fijos en la oficina, es mejor home office"
Oracle,Staff consultant,"Remote worker, flexibilidad, buen ambiente",No incremento salarial conforme a la inflación
Oracle,Great environment,"Buen salario
Prestaciones superiores a la ley
Edificio propio
Estacionamiento
Gran ambiente de trabajo","Difícil conseguir un aumento
Proveedor de comida
Días de descanso limitados
Carga de trabajo"
Oracle,Recomiendo la empresa 100%,"Mi experiencia ha sido muy buena. Tanto la cultura de la empresa como el apoyo entre compañeros de equipo me ha parecido muy buena, al menos en cuanto a mi experiencia personal. No se que tanto aplique para otros equipos dentro de la empresa.",No están muy abiertos al trabajo remoto y la remuneración no es la mejor del mercado
Oracle,Muy bajos sueldos con respecto a otras empresas,- Beneficios. -Buena prepaga -Trabajo en equipo -Desarrollo Profesional,-Bajo Sueldo -Sobrecarga de trabajo.
Oracle,Evaluación,"Buen ambienre laboral, buenas prestaciones",Los aumentos pueden ser difíciles de conseguir
Oracle,Review,Hermosa infraestructura. Ambiente laboral excelente.,La tercerizacion de personal y no incorporación
Oracle,Primer empleo,"Excelente trato entre compañeros, aprendizaje continuo, expectativa de crecimiento",Todavía no encontré ninguna desventaja
Oracle,Muy buena empresa,"Muy buena empresa, Flexible, y da posibilidades de crecimiento.",No actualiza por tipo de cambio.
Oracle,Buena,Buenas prestaciones como seguros de gastos medicos y fondo de ahorro,"No suben sueldos, nunca hay budget"
Oracle,Buen ambiente laboral,Excelente producto Excelente equipo Aprendes constantemente Buen ambiente laboral,Las promociones son limitadas y se obtiene con política no resultados
Oracle,Muy bueno,Fñexibilidad y buen ambiente. Buen sueldo,No hay ninguna desventaja en esta empresa
Oracle,Buena empresa sin aumentos,"Es una buena empresa para trabajar por mucho tiempo. Buen ambiente pero depende mucho del proyecto. Ultimamente estan dando muchos RSU, generealmente entre 30y50k USD",Rara vez vas a ver aumentos
Oracle,Buena empresa,Cursos y perfeccionamiento. Buenas dependencias. Sueldo de acuerdo al mercado.,Ambiente laboral no muy grato.
Oracle,ORACLE,Trabajo Remoto Excelente comunicación con superiores,No encuentro ninguna desventaja en este trabajo.
Oracle,Oracle,Fondo de Empleados y Bonificaciones,"Ambiente laboral hostil, falta de liderazgo y plan de carrera."
Oracle,Empresa de Conocimiento,"Un mundo entero de conocimiento que aprender, que conocer, presencia en todas las industrias, competencia interna de alto desempeño",Adopción de la cultura organizacional
Oracle,medio,paquete medico completo descuentos en muchos lugares,sueldo no aumenta dificil subir de nivel
Oracle,Inhumanos,Empresa global y buenos beneficios,"No hay seguimiento. Los lideres de la India no estan en constante comunicacion. Duran mas de 6 meses sus procesos. Si se muere un familiar y pides los dias, te corren a la semana. No te dan oportunidad de demostrar capacidades. Te dan 200 pesos mexicanos de PTU."
Oracle,Buena Empresa,"Empresa top, con buenos proyectos y mucho balance vida/trabajo",No hay crecimiento dentro de la empresa
Oracle,Excelente empresa para trabajar,Variedad de prestaciones y beneficios,Horarios irregulares o extendidos algunas ocasiones
Oracle,Todo genial,Plan de acciones y Acciones otorgadas,No hay horario fijo puedes estar trabajando en la noche
Oracle,Oracle en consultoria,"Tienes buenos programas para poder aprender desde sus mismos sistemas hasta nuevos idiomas, si te gusta estudiar por tu cuenta puedes sacar mucho provecho",No es tan fácil subir de puesto ya que muchas veces prefieren contratar gente externa que subir de puesto a los que tienen más tiempo. Los que he visto que subieron es porque se cambiaron de empresar por 1-2 años y volvieron con mejor sueldo y prácticamente mismas responsabilidades
Oracle,sales consultant,trabajo remoto cocachin actividades cuando trabajas cn un buen equipo todo fluye mejor,cultura ventas cuando la cultira es solo de presion es mas dificil trabajar
Oracle,Fantástico,"Salarios y prestaciones competitivas, superiores al promedio.","Si te toca en algún departamento que sea extranjero y de habla inglesa, dificilmente volverás a hablar en español"
Oracle,Depende,Buen sueldo y buenas condiciones,Mucha presion a final de año fiscal. Dificil escalar internamente
Oracle,Buenas prestaciones,"Fondo del ahorro de 13%, vales de despensa y restaurantes, prima vacacional 75%, aguinaldo un mes, seguro de gastos médicos mayores y menores",Difícil subir de puesto y conseguir aumento de sueldo (no hay ajuste por inflación)
Oracle,A good place to work,Buena cobertura y beneficios en salud. El fondo de empleados es un gran beneficio para ahorro y créditos. Cultura orientada a resultados. Herramientas internas y externas para el desempeño y entrenamiento de empleados.,No hacen incrementos de sueldos anuales y al parecer el proceso es bastante difícil.
Oracle,Buena empresa,"Buenas prestaciones, buena paga, flexibilidad de tiempo dependiendo del equipo","Algunos equipos están volviendo a la oficina, lo cual no es tan conveniente"
Oracle,Work as consultant in Oracle,"Home Office, toda la documentación de oracle disponible, red internacional de consultores, soporte especializado","Bajas prestaciones, falta de atención por parte de los managers, favoritismo"
Oracle,Deception,Knowledge experience and team mates,Low pay and lack of communication
Oracle,evaluacion Oracle Mexico,home office certificaciones algunas prestaciones Aguinaldo de 30 dias,"la division de OCI es malisima desde managers y directores prepotentes, hostigadores, esclavizan al personal"
Oracle,Bien,Buena para trabajar aqui bien,Los cambios son dificiles en el tiempo
Oracle,No hay incrementos y no va a haber ptu,Capacitación Ambiente Apoyo estudios Bilingüe Procesos para reclamos internos,No hay incrementos No hay PTU Si un cliente te agrade la compañia no hace nada Gerentes no buenos No te permiten trabajo remoto
Oracle,Buena Empresa,Prestaciones Sueldo instalaciones en el campus felxibilidad,Cuando te contratan hay que pedir una buena cantidad ya que no hay muchas posibilidades de crecimiento Muchos lideres que no saben ser lideres
Oracle,Muy bien,Prestaciones superiores a la ley y vacaciones por paternidad de 10 semanas.,A veces la comida de cafeteria no es la mejor
Oracle,Gratificante,-Disponibilidad de tiempo - Buen horario laboral,-Tareas repetitivas - Poco aprendizaje y capacitación
Oracle,Excelente,Capacitacion continua en el producto oracle,Ingresos bajos respecto a otras empresas.
Oracle,Excelente ambiente y desde casa,Trabajar desde casa. La presión es baja. Equipo multicultural,Reestructuraciones No hay incremento salarial por varios años Vacaciones de ley
Oracle,Estabilidad sin crecimiento,"Estabilidad, reputacion, tranquilidad, curriculum, beneficios","Aprendizaje, sin contacto con el mundo real"
Oracle,With positives and negatives,Flexibilidad para trabajo remoto Buenos beneficios Mucho por aprender si tienes voluntat de hacerlo,"Cultura de la compania ha cambiado mucho en los ultimos anos, empeorando a nivel de senior leadership Sin estragia clara por culpa de muchisimos cambios y muy frecuentes Despues de la pandemia incluso los viajes has sido reducidos casi total"
Oracle,Buenas prestaciones,Buenas prestaciones Buen plan de RSU,"Mal balance trabajo/vida personal No aumenta el salario con el tiempo, hay que negociarlo bien"
Oracle,no trabajas en oracle,no hay ventajas en oracle,"es una empresa individualista, si eres egoista, oracle es para ti"
Oracle,Evaluación sobre cultura organizacional,"Trabajo remoto, buenas prestaciones, oficinas de primer nivel con variedad de amenidades, transporte para empleados con variedad de rutas.","Micromanagement excesivo, rotación de turnos sin previo aviso en el proceso de reclutamiento, trabajo en fines de semana de jornadas completas sin paga ni permutación, pocos entrenamientos efectivos ya que todo el aprendizaje es a través de videos, no otorgan equipo de trabajo como celular o headset, contratan estudiantes para puestos de tiempo completo, no toman en cuenta la experiencia previa para ubicarte en un puesto."
Oracle,Sueldos bajos,Buen ambiente de trabajo Capacitación constante,"Los salarios son muy bajos y para conseguir un aumento pueden pasar años, no hay aumentos anuales por inflación"
Oracle,Gran lugar para trabajar,Trabajo remoto Salaraio competitivo Beneficios,No hay muchas desventajas o no hay.
Oracle,Principal Consultant,* Prepaga Osde o Medicus * Flexibilidad del horario laboral (segun que sea tu jefe),* Sueldos muy bajos * No cuidan a sus empleados
Oracle,Buena empresa,Auto estudio y certificaciones. Prestaciones adicionales.,Aumentos y ascensos solo a los conocidos y muy muy serviciales compañeros .
Oracle,Buena empresa pero no perfecta,Mucha experiencia en proyectos de alto impacto Muchas formas de capacitarse Estabilidad,Mucho trabajo y estrés Los incrementos de sueldo son pocos Mucha gente con demasiado ego y a veces eso promueve la falta de interes en realizar cosas en equipo
Oracle,Satisfactorio,Modalidad de trabajo híbrida y beneficios.,El sueldo no es de los mas altos en el mercado
Oracle,Excelente,Buen salario Grandes oportunidades de crecimiento Trabajo remoto o híbrido Excelentes prestaciones,Mucho estrés Pocos días de vacaciones
Oracle,En general muy buena empresa,1. El balance vida-trabajo es lograble 2. Muchas prestaciones y apoyos para los empleados 3. Capacitacion constante 4. Contamos con muchas herramientas para el desarrollo profesional,1. El desempeño no está ligado a los incrementos salariales ni asiganciones de bonos y acciones. Esos son a discreción de la dirección de tu organización. 2. Los canales para crecer dentro de la empresa son claros pero no siempre se cuenta con el apoyo de los managers para lograrlo.
Oracle,Falta de aumentos,"Excelente ambiente laboral, así como sus instalaciones","Aumentos mínimos, aun siendo un top performer."
Oracle,Buen trabajo,El horario es flexible y apoyan mucho cuando tienes un problema,No hay buenos aumentos a lo largo del tiempo
Oracle,Excelente empresa,"Buenas prestaciones, ambiente laboral, salario",El trabajo en modalidad híbrida
Oracle,Trabajo en Oracle,Buen ambiente laboral Certificaciones Oracle gratuitas Seguimiento constante,Sueldo no competente RRHH no muy competente
Oracle,Excelente,Oportunidad de Crecimiento y aprendizaje,Alta rotación y contracción de mercado
Oracle,Muy mal,"Buen sueldo , buen sueldo, buen sueldo",No aconsejo trabajar para esta empresa.
Oracle,Buen lugar,Salario competitivo y muy flexibles,Al ser una empresa tan grande aveces no se siente que las aportaciones qué haces generen un impacto
Oracle,Evaluación,"Excelente cultura empresarial, clima laboral, aprendizaje.",Sueldos muy bajos en comparación al mercado
Oracle,Trabajar en Orcl,Empresa corporativa con buenas prestaciones,Una vez entrando los salarios se congelan tiene una política de muy poco aumento de sueldo
Oracle,Excelente,Tecnología Disruptiva Mejores Prácticas de Negocio,Muchas Unidades de Negocio Tecnología en constante evolución
Oracle,"Es regular, depende de como te va en la feria",Tiene buenas prestaciones y puedes hacer las certificaciones gratis,Tienes que tener suerte de que te toque un buen proyecto y sin aumentos de sueldo
Oracle,Trabajar en Oracle,"Buenas Prestaciones, Sueldo , Home Office","La cultura, no hay una clara definición de tus actividades, Muy ambiguo. Me toco trabajar desde Mexico para EU. La persona que me asignaba actividades era realmente dificil de tratar. Una semana me decia una cosa y la siguiente otra. Al mes de entrar me pusieron en un periodo de evaluación! Si al mes!! Esto no lo había vivido en otro lado. Fueron meses muy complicados y finalmente decidir irme a otro lado."
Oracle,Nulo crecimiento y futuro,Buen paquette de bienvenida al entrar a la empresa,"Cero crecimiento, bonos u adjusted salarial."
Oracle,Personal,Empleo estable y buen ambiente de trabajo,Mala gestion de los managers directos
Oracle,Buena,"Sueldo, trabajo remoto, sin presión.","No hay mucha posibilidad de crecimiento, no hay beneficios."
Oracle,Gran experiencia,recursos de punta disponibles y comodidad laboral,"crecimiento lento, se requiere salir y regresar"
Oracle,Pocos proyectos para sobresalir,"Muy buenas instalaciones, muy buen ambiente laboral. La mayoría de las veces son flexibles cuando tienes que ausentarte","Puedes no tener proyecto en varios meses, si eres nuevo, puede ser difícil subir de sueldo/rango"
Oracle,Excelente,Mucho lugar de crecimiento Buen ambiente laboral Muy buenos trabajadores,Te puede llegar a consumir si no pones tus horarios No se recibio buenas utilidades
Oracle,Mucha presión,"muchos beneficios, prestaciones superiores a la ley, horario flex con home office",Utilidades deplorables Mucha politica mucha presión y estres
Oracle,"Buen lugar, pero sin aumentos de sueldo","Excelente oficinas, comedor y gimnasio, equipo que necesites para tu trabajo, gastos medicos mayores y menores, vales de despensa y fondo de ahorros","debes negociar muy bien tu sueldo por que no hay muchos aumentos de sueldo ni promotion,"
Oracle,OCI,Buenas prestaciones Buen remuneración Opción de Home Office,Ambiente laboral Expectativas laborales Horario Laboral
Oracle,Muy buena,Buen sueldo y trabajo remoto.,"Ninguna, se viene cumpliendo con lo pedido."
Oracle,Oracle,Buen hambiente laboral Buenas Prestaciones Flexibilidad,No hay incremento de sueldos y si los hay es muy bajo
Oracle,Consultor en Oracle,Siguen todo a pie de la letra marcando por ley.,No es fácil conseguir un aumento.
Oracle,Gran empresa y colaboradores,Hay muchas personas con grandes conocimientos de las que puedes aprender bastante.,Los aumentos salariales son por puesto y no por año.
Oracle,Inmersión en negocio,"Flexibilidad, formación continua, impulso alcance logros","No recuerdo desventajas , exigencia y presión para alcanzar objetivos"
Oracle,Gran empresa,Una gran compañía con posibilidades de crecimiento y con grandes proyectos en los que participar.,Un tanto política a veces
Oracle,Excelente lugar para trabajar,"Muy buen ambiente laboral, gente joven, entusiasta La empresa cuenta con muchos beneficios y hacen bastantes actividades","Como todo cargo en ventas hay presión, pero es manejable"
Oracle,Buena empresa,Buen sistema de aprendizaje y equipo multicultural,Alta exigencia de disponibilidad en horarios y demanda
Oracle,Excelente lugar para trabajar,"buen equipo de trabajo, flexibilidad en cuanto a horario y presencialidad/ remoto, lugar para crecer dentro de la empresa",equipo en crecimiento lo que hace que se esten implementando nuevas cosas constantemente
Oracle,Evaluación general,"beneficios, sueldo, oportunidades, ubicación, bonos","el ambiente suele ser un poco competitivo, penetrar en algunos paises de la región es un poco complejo"
Oracle,Increible empresa,Siempre tendrás bien management y respeto por tu territorio.,"Ninguna, fueron buenos años en Oracle"
Oracle,Oracle,"Muy buena empresa, bien pagada, con buenas prestaciones, buen ambiente de trabajo","Mucho movimiento de personal, corren muy fácil a la gente."
Oracle,Sales Representative,"Se puede ganar dinero bastante bien, debido a los bonuses",No hay incremento salarial anual. Solo cuando hay un cambio de posicion.
Oracle,Buena empresa para trabajar,- buen salario - buen ambiente de trabajo,- mucha burocracia - sistemas complejos - pocas promociones
Oracle,OK,great knowledge and experience learned,update salary get promotion .
Oracle,Excelente empresa,Salario y bonos son competitivos,"Poco tiempo descanso, demasiado demandante"
Oracle,.,Homeofice buen ambiente laboral y balance laboral familiar,Salarios convenio colectivo comercio sin bonos en usd
Oracle,Percentile 50,"Percentile 50 , trabajo en equiopo buen lugar","Not so agile , processes slow"
Oracle,Mi experiencia en Oracle,Trabajo Flex Programación con Java Hay flexibilidad,Soporte a aplicaciones que utilizan tecnología de hace 10 años Ambientes de desarrollo extremadamente lentos Es dificil que te aumenten el sueldo aunque cambies de posición
Oracle,"no es big tech, pero no esta mal",Buenas prestaciones Oficinas en Guadalajara cómodas,Managers inflados Mala comunicación interna Oficinas inproductivas
Oracle,Muy buena empresa,"Buen ambiente de trabajo, remuneración justa.","Trabajo solicitante, muchas horas extra."
Oracle,Deplorable,"Estabilidad laboral y convivencia, buenas instalaciones","Mal management de proyectos. No capacitación de proyectos. Y no dan absolutamente nada explicación coherente para no dar nada de PTU. Fatal por ese lado ah y no hay crecimiento laboral, ni económico en base a la inflación."
Oracle,Inversión,Invierten mucho en innovación y desarrollo. Mucha capacitación disponible,No invierten en los clientes como otras empresas del rubro
Oracle,Technical Consultant,Buen ambiente laboral y buenos beneficios,"Crecimiento lento y burocratico, como empresa grande"
Oracle,Una gran empresa,Una organización mudial que te recibe con humildad y te abre todas las puertas para tu desarrollo profesional,En argentina los sueldos que pagan son bajos
Oracle,Good,El campus es grandioso y bonito,Aumento se salario minimo dentro de la empresa
Oracle,GPTW,"Proyectos interesantes, buen ambiente, aprendizaje",Prestaciones menores que las de otras compañías de TI
Oracle,Ambiente Laboral,Empresa pujante y comprometida con el empleado,ciclo de 3 meses para cobro de comision
Oracle,Oracle Argentina 2023,"Home office; Beneficios corporativos: CLN, descuentos, vending","Sueldos, presencialidad, beneficios escasos, pocas posibilidades de crecimiento"
Oracle,Technical Writer,Buen salario y prestaciones competitivas,Muy monótono y no hay oportunidad para crecer dentro de la empresa
Oracle,Perfeccto,alto nivel de competencia y sobre todo gran crecimiento laboral,mucho tiempo tras la computadora y varias horas sentado
Oracle,Sourcing Specialist,"homeoffice, excelente paquete de beneficios y ambiente laboral.",ninguna desventaja por el momento.
Oracle,Great place to work,-Prestaciones. -Buen sueldo. -Bonitas instalaciones. -En mi casa ha habido buen management.,-Crecimiento de salario por antigüedad malo.
Oracle,Meh,Buenas prestaciones y ambiente laboral dependiendo del area en la que trabajes.,"Muy mal pagado, poco crecimiento, no pueden retener ni les interesa retener a sus mejores empleados. Tu sueldo no se mantiene competitivo ni con la inflación."
Oracle,Excelente empresa,"Buenas prestaciones, muy flexibles, recibes acciones",dependiendo el equipo puede ser muy pesado de llevar el trabajo
Oracle,excelente,Gran ambiente laboral y oportunidad de crecimiento,Conflicto de horarios entre integrantes del equpio
Oracle,Muy bien,"Training, buenas prestaciones, pata carrer",No hay desventajas para la compañía
Oracle,Ingeniero Oracle,Personas agradables y buen balance vida trabajo,A veces tengo poco qué hacer
Oracle,"Algunas cosas bien, otras no tanto","- Buen salario - Algunos compañeros son majos - Flexibilidad teletrabajo - No tienes que hacer horas extras - No es un trabajo demasiado difícil (De hecho, si eres demasiado espabilado, te dejan los territorios complicados) - En general, no hay micromanagement","- Muchos vendedores no se hacen los números ya que las carteras son asignadas dependiendo de como le caigas al jefe/director de turno - Nada de meritocracia, trabajar bien y más no significa ganar más - La estrategia de la empresa a veces es confusa, por ejemplo, cambian los clientes todos los años fiscales y no llegas a cobrar las comisiones - El plan de compensación es el peor que he visto hasta el momento en el sector"
Oracle,Buen lugar para trabajar,Prestaciones superiores Buen ambiente de trabajo,No hay incrementos salariales anuales Los jefes no te apoyan para crecer
Oracle,Arquitecto,"Linda oficina, productos interesantes, clientes globales, procesos definidos","malos sueldos, cero beneficios, progresas si le caes bien a tu jefe"
Oracle,Mala experiencia,"Buenas prestaciones, horario flexible, sueldos base decentes.","Carga de trabajo elevada, despidos injustificados, te avisan en tu ultimo dia de trabajo sin tiempo para reubicarte, no cuenta la lealtad a la empresa."
Oracle,Experiencia Oracle,"Convenios de salud, fondo de empleados","No hay plan de crecimiento del empleado, hay muchas diferencias salariales entre personas del mismo equipo, falta de liderazgo, no tienen programas de retención del talento"
Oracle,Buen ambiente de Trabajo,El equipo de trabajo fue excelente,No tengo argumentos para decir desventajas
Oracle,Senior Functional Consultant,Buena empresa para hacer carrera y avanzar,"Exigen el constante aprendizaje de tareas nuevas , y certificados. Dificil terminar las tareas dentro de las 8 horas laborables."
Oracle,Buen empleador,-Buenas prestaciones -Buen ambiente laboral -Flexibilidad,- No es claro el camino para conseguir aumento de suelto
Oracle,SD review,Excelentes ingenieros y oportunidades de crecimiento,A pesar de ofrecer salarios competitivos los incrementos son pocos
Oracle,Buen lugar para trabajar,"Salario competente, buenas prestaciones, buen ambiente laboral","Mucha carga laboral, nada más"
Oracle,Revisar si los valores se alinean,Buenos productos y base de clientes,Cultura Organizacional falta de valores
Oracle,Mala,Buenas posibilidades de progreso laboral,"Demasiado trabajo por poco, no les importa la gente"
Oracle,ORACLE,Incredible el lugar ya que es muy moderno,Me gusto realmente todo de todo
Oracle,Buena empresa para ganar experiencia,Buenos beneficios y salario competitivo desde los puestos mas base,Training demasiado largo y sensacion de desorganización en la empresa
Oracle,buena,las prestaciones son excelentes y el ambiente laboral es muy comodo,el trabajo remoto no es opcion
Oracle,Buen ambiente laboral,Crecimiento apoyo educativo flexibilidad de horario,El crecimiento dependiendo del equipo puede ser lento
Oracle,GenO,Introducción al mundo laboral. Conocimiento Sueldo Trabaja y estudia,Mejorar la experiencia en rotaciones
Oracle,"Buena empresa, pero depende del equipo para el cual trabajes","Buenos beneficios, flexibilidad horaria, servicio de transporte, fondo de empleados","Excesivo manejo de relaciones, algunas veces vale mas el relacionamiento que el trabajo"
Oracle,No hay crecimiento,"*Si acabas de graduarte, como primer empleo está bien, y por un tiempo. *Oficinas nuevas muy agradables.","*No hagas horas extras, a menos que te aseguren por escrito que si lo harán, de lo contrario no se pagarán. *No dan mucha retroalimentación, y cuando la pides, dicen que no hay tiempo y tampoco usaban la plataforma dedicada a dar retro (en mi caso mi perfil no tenía nada) *Dan evasivas cuando preguntas que camino tomar para buscar una promoción *La coordinación del proyecto es mala, de modo que muy pocas veces sabes el propósito de lo que estás haciendo y las prioridades del equipo/proyecto. *Balance de vida personal/trabajo mala"
Oracle,Muy buena Compañía,Empresa de clase mundial con soluciones de 1ra. Clase,"Mucha competencia, sobre todo en soluciones Cloud"
Oracle,Oracle NS Uruguay,Buen ambiente laboral. Relacion vida trabajo,Dificil subir el sueldo una vez dentro
Oracle,DevOps Engineer,Excelente para aprender de muchas tecnologías,No hay bonos ni otras formas de subir
Oracle,Resumen de compañia,muy buena empresa para trabajar,Un poco pesada la carga
Oracle,Excelente empresa,"buenas prestaciones 12 dias de vacaciones al año + 2 semanas de vacaciones en diciembre (no las descuentan de tus vacaciones) aguinaldo 1 mes, fondo de ahorro SGMM, utilidades, vales de despensa, vales de restaurante y pago con acciones","no sube el sueldo anualmente, aprox lo suben cada 2 o 3 años para que si entras llegues con buen sueldo"
Oracle,Buena empresa,Tienen buenas condiciones de trabajo,No hay alguna al momento
